category_id,Category,Domain,Baseline (kg CO₂e/cap),Behavioural reduction,Technological reduction,Combined reduction,Max adoption (L),Adoption speed (k),Inflection year (t₀),Assumption note,Activity metric,Activity unit,"Baseline activity M0,c","Baseline intensity I0,c (kgCO2e/unit)",Activity data source,Confidence flag
leisure_sport_and_culture_equipment_for_sport_camping_and_outdoor_recreation,"Leisure, sport and culture - Equipment for sport, camping and outdoor recreation","Leisure, sport and culture",23.05441,0.5,0.7,0.85,1.0,0.2,2029,New purchases are reduced by 50% and production becomes more efficient.,0932,"SEK/cap/year (national average, 2021)",1471.3,0.01567,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
other_consumption_household_textiles,Other consumption - Household textiles,Other consumption,22.88734,0.5,0.7,0.85,1.0,0.2,2029,New purchases are reduced by 50% and production becomes more efficient.,052,"SEK/cap/year (national average, 2021)",1596.4,0.01434,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
local_transport_spare_parts_and_accessories,Local transport - Spare parts and accessories,Local transport,21.64835,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,0721,"SEK/cap/year (national average, 2021)",1476.1,0.01467,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
other_consumption_home_and_garden_tools,Other consumption - Home and garden tools,Other consumption,20.05375,0.5,0.7,0.85,1.0,0.2,2029,New purchases are reduced by 50% and production becomes more efficient.,"0551, 0552","SEK/cap/year (national average, 2021)",1784.5,0.01124,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
food_and_drink_coffee_and_coffee_substitutes,Food and drink - Coffee and coffee substitutes,Food and drink,19.9522,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,0121,"SEK/cap/year (national average, 2021)",719.2,0.02774,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",SHARED - 0121 combined with Tea & Chocolate drinks | SEK/cap split proportionally to baseline emissions share across 3 peers.
other_consumption_financial_services,Other consumption - Financial services,Other consumption,19.67818,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,126,"SEK/cap/year (national average, 2021)",8112.6,0.00243,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
local_transport_company_car_benefit,Local transport - Company-car benefit,Local transport,18.5096,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,07245,"SEK/cap/year (national average, 2021)",1543.0,0.012,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",SHARED - 07245 combined with Rental of personal transport equipment | SEK/cap split proportionally to baseline emissions share across 2 peers.
clothing_and_shoes_other_garments_and_clothing_accessories,Clothing and shoes - Other garments and clothing accessories,Clothing and shoes,16.67224,0.5,0.7,0.85,1.0,0.2,2029,New purchases are reduced by 50% and production becomes more efficient.,0313,"SEK/cap/year (national average, 2021)",502.4,0.03319,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
food_and_drink_strong_beer,Food and drink - Strong beer,Food and drink,15.00377,0.5,0.7,0.85,1.0,0.2,2029,New purchases are reduced by 50% and production becomes more efficient.,02131,"SEK/cap/year (national average, 2021)",1098.3,0.01366,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
local_transport_rental_of_personal_transport_equipment,Local transport - Rental of personal transport equipment,Local transport,14.95851,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,07245,"SEK/cap/year (national average, 2021)",1246.9,0.012,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",SHARED - 07245 combined with Company-car benefit | SEK/cap split proportionally to baseline emissions share across 2 peers.
