scenario_id,scenario_name,year,emissions_tco2e_per_capita,target_tco2e_per_capita,gap_tco2e_per_capita
S4,Scenario 4,2034,2.0800600493432797,2.68,-0.5999399506567205
S4,Scenario 4,2035,1.9066776032614319,2.575,-0.6683223967385683
S4,Scenario 4,2036,1.759889101522065,2.47,-0.7101108984779352
S4,Scenario 4,2037,1.6356136909557593,2.365,-0.729386309044241
S4,Scenario 4,2038,1.5306705621341892,2.26,-0.7293294378658106
S4,Scenario 4,2039,1.442342986229432,2.1550000000000002,-0.7126570137705683
S4,Scenario 4,2040,1.3682459222291665,2.05,-0.6817540777708333
S4,Scenario 4,2041,1.3062807839405275,1.9449999999999998,-0.6387192160594724
S4,Scenario 4,2042,1.2546102345857526,1.84,-0.5853897654142475
S4,Scenario 4,2043,1.2116362631909978,1.7349999999999999,-0.5233637368090021
S4,Scenario 4,2044,1.175978391316517,1.6300000000000001,-0.4540216086834832
S4,Scenario 4,2045,1.146451860037022,1.525,-0.378548139962978
S4,Scenario 4,2046,1.1220461635521304,1.42,-0.29795383644786955
S4,Scenario 4,2047,1.1019043426931674,1.3150000000000002,-0.21309565730683278
S4,Scenario 4,2048,1.0853034121038583,1.21,-0.12469658789614169
S4,Scenario 4,2049,1.0716362196695572,1.1050000000000002,-0.03336378033044296
S4,Scenario 4,2050,1.0603949397940255,1.0,0.06039493979402555
