scenario_id,scenario_name,year,emissions_tco2e_per_capita,target_tco2e_per_capita,gap_vs_target_tco2e_per_capita,reduction_from_baseline_tco2e_per_capita,reduction_from_baseline_pct
S2,Scenario 2,2039,4.331933677632357,2.1550000000000002,2.1769336776323565,1.4035028943676435,24.470724708550456
S2,Scenario 2,2040,4.278425368768388,2.05,2.228425368768388,1.4570112032316125,25.403666921270464
S2,Scenario 2,2041,4.234666342922784,1.9449999999999998,2.2896663429227844,1.500770229077216,26.16662585728646
S2,Scenario 2,2042,4.199693930508623,1.84,2.359693930508623,1.5357426414913773,26.77638610788175
S2,Scenario 2,2043,4.172253922739088,1.7349999999999999,2.4372539227390884,1.563182649260912,27.25481538567195
S2,Scenario 2,2044,4.151033066674061,1.6300000000000001,2.521033066674061,1.5844035053259393,27.62481086550388
S2,Scenario 2,2045,4.134804230320456,1.525,2.609804230320456,1.6006323416795443,27.90776816352079
S2,Scenario 2,2046,4.122498524504496,1.42,2.702498524504496,1.6129380474955042,28.122323858828025
S2,Scenario 2,2047,4.113227523160013,1.3150000000000002,2.798227523160013,1.622209048839987,28.283968072448012
S2,Scenario 2,2048,4.106276460131627,1.21,2.8962764601316273,1.629160111868373,28.405163084216092
S2,Scenario 2,2049,4.101083445593977,1.1050000000000002,2.9960834455939764,1.6343531264060234,28.495705704162454
S2,Scenario 2,2050,4.097214070167481,1.0,3.097214070167481,1.6382225018325194,28.56317006154696
S3,Scenario 3,2026,5.257891424973828,3.1,2.1578914249738284,0.4775451470261718,8.326221396249307
S3,Scenario 3,2027,5.109475524513059,3.1,2.0094755245130593,0.6259610474869408,10.91392154073918
S3,Scenario 3,2028,4.917184248893158,3.1,1.8171842488931582,0.8182523231068419,14.2666092255556
S3,Scenario 3,2029,4.66834205155126,3.1,1.56834205155126,1.06709452044874,18.6052884911712
S3,Scenario 3,2030,4.369603906749995,3.1,1.2696039067499947,1.3658326652500055,23.81392677094373
S3,Scenario 3,2031,4.070865761948736,2.995,1.0758657619487355,1.6645708100512646,29.022565050716153
S3,Scenario 3,2032,3.8220235646068383,2.89,0.9320235646068382,1.913413007393162,33.361244316331735
S3,Scenario 3,2033,3.6297322889869372,2.785,0.8447322889869371,2.105704283013063,36.71393200114816
S3,Scenario 3,2034,3.4813163885261673,2.68,0.8013163885261672,2.254120183473833,39.301632145638045
S3,Scenario 3,2035,3.3659639761371154,2.575,0.7909639761371152,2.369472595862885,41.31285502189117
S3,Scenario 3,2036,3.276605433186845,2.47,0.8066054331868449,2.458831138813155,42.870862713694656
S3,Scenario 3,2037,3.2080296380288993,2.365,0.8430296380288991,2.527406933971101,44.06651354684532
S3,Scenario 3,2038,3.1559467967825197,2.26,0.8959467967825199,2.5794897752174806,44.974602069707636
S3,Scenario 3,2039,3.11674667637916,2.1550000000000002,0.9617466763791596,2.6186898956208404,45.6580743723172
S3,Scenario 3,2040,3.087450563990968,2.05,1.0374505639909684,2.647986008009032,46.1688656960538
S3,Scenario 3,2041,3.065668717262946,1.9449999999999998,1.1206687172629461,2.6697678547370542,46.548642308602524
S3,Scenario 3,2042,3.049530894559626,1.84,1.2095308945596257,2.6859056774403745,46.83001274136267
S3,Scenario 3,2043,3.0376014366301267,1.7349999999999999,1.3026014366301268,2.6978351353698735,47.03800838005106
S3,Scenario 3,2044,3.0287939061673614,1.6300000000000001,1.3987939061673613,2.706642665832639,47.191571763626136
S3,Scenario 3,2045,3.022294511145303,1.525,1.497294511145303,2.7131420608546972,47.30489173396262
S3,Scenario 3,2046,3.0174980275628096,1.42,1.5974980275628097,2.7179385444371906,47.388520652568566
S3,Scenario 3,2047,3.0139565227561436,1.3150000000000002,1.6989565227561434,2.7214800492438567,47.450268433442915
S3,Scenario 3,2048,3.011339518089564,1.21,1.8013395180895642,2.724097053910436,47.495897125064324
S3,Scenario 3,2049,3.009403651186634,1.1050000000000002,1.904403651186634,2.726032920813366,47.529649863476266
S3,Scenario 3,2050,3.0079698847883862,1.0,2.0079698847883862,2.727466687211614,47.55464824642845
S4,Scenario 4,2026,4.368974181983453,3.1,1.2689741819834528,1.3664623900165473,23.824906314673957
S4,Scenario 4,2027,4.142423426304761,3.1,1.0424234263047611,1.593013145695239,27.774923943405067
S4,Scenario 4,2028,3.8771484902032833,3.1,0.7771484902032832,1.858288081796717,32.400115640172
S4,Scenario 4,2029,3.5609650152610612,3.1,0.46096501526106115,2.174471556738939,37.91292135204767
S4,Scenario 4,2030,3.1998428527155953,3.1,0.09984285271559523,2.535593719284405,44.20925395048384
S4,Scenario 4,2031,2.8421119003961524,2.995,-0.15288809960384775,2.893324671603848,50.44645922385153
S4,Scenario 4,2032,2.5358403567015917,2.89,-0.35415964329840843,3.1995962152984085,55.78644581161638
S4,Scenario 4,2033,2.28625475188862,2.785,-0.4987452481113803,3.4491818201113804,60.1380867317066
S4,Scenario 4,2034,2.0800600493432797,2.68,-0.5999399506567205,3.6553765226567205,63.73318712130848
S4,Scenario 4,2035,1.9066776032614319,2.575,-0.6683223967385683,3.828758968738568,66.75619058242752
S4,Scenario 4,2036,1.759889101522065,2.47,-0.7101108984779352,3.9755474704779354,69.3155162744939
S4,Scenario 4,2037,1.6356136909557593,2.365,-0.729386309044241,4.099822881044241,71.482315767544
S4,Scenario 4,2038,1.5306705621341892,2.26,-0.7293294378658106,4.204766009865811,73.31204795103451
S4,Scenario 4,2039,1.442342986229432,2.1550000000000002,-0.7126570137705683,4.293093585770569,74.85208025364888
S4,Scenario 4,2040,1.3682459222291665,2.05,-0.6817540777708333,4.3671906497708335,76.1439969729794
S4,Scenario 4,2041,1.3062807839405275,1.9449999999999998,-0.6387192160594724,4.4291557880594725,77.22438793382008
S4,Scenario 4,2042,1.2546102345857526,1.84,-0.5853897654142475,4.480826337414248,78.12528795609612
S4,Scenario 4,2043,1.2116362631909978,1.7349999999999999,-0.5233637368090021,4.523800308809003,78.87455910320548
S4,Scenario 4,2044,1.175978391316517,1.6300000000000001,-0.4540216086834832,4.5594581806834835,79.49627065779855
S4,Scenario 4,2045,1.146451860037022,1.525,-0.378548139962978,4.588984711962978,80.01107944190474
S4,Scenario 4,2046,1.1220461635521304,1.42,-0.29795383644786955,4.61339040844787,80.43660409340274
S4,Scenario 4,2047,1.1019043426931674,1.3150000000000002,-0.21309565730683278,4.633532229306833,80.78778609334488
S4,Scenario 4,2048,1.0853034121038583,1.21,-0.12469658789614169,4.650133159896142,81.07723102715086
S4,Scenario 4,2049,1.0716362196695572,1.1050000000000002,-0.03336378033044296,4.663800352330443,81.315524873883
S4,Scenario 4,2050,1.0603949397940255,1.0,0.06039493979402555,4.675041632205975,81.51152180863095
