scenario_id,scenario_name,year,category_id,category,domain,baseline_kgco2e_per_capita,adoption_fraction,combined_reduction_fraction,emissions_kgco2e_per_capita,reduction_kgco2e_per_capita
S1,Scenario 1,2026,food_and_drink_low_and_medium_strength_beer,Food and drink - Low- and medium-strength beer,Food and drink,6.550008,0.0,0.0,6.550008,0.0
S1,Scenario 1,2026,local_transport_parking_services,Local transport - Parking services,Local transport,5.832175,0.0,0.0,5.832175,0.0
S1,Scenario 1,2026,food_and_drink_water,Food and drink - Water,Food and drink,5.704631,0.0,0.0,5.704631,0.0
S1,Scenario 1,2026,leisure_sport_and_culture_writing_and_drawing_materials,"Leisure, sport and culture - Writing and drawing materials","Leisure, sport and culture",5.603584,0.0,0.0,5.603584,0.0
S1,Scenario 1,2026,other_consumption_residential_care_for_older_people_and_people_with_disabilities_excluding,"Other consumption - Residential care for older people and people with disabilities, excluding health care",Other consumption,5.168192,0.0,0.0,5.168192,0.0
S1,Scenario 1,2026,local_transport_motorcycles,Local transport - Motorcycles,Local transport,5.079291,0.0,0.0,5.079291,0.0
S1,Scenario 1,2026,other_consumption_insurance,Other consumption - Insurance,Other consumption,5.017043,0.0,0.0,5.017043,0.0
S1,Scenario 1,2026,clothing_and_shoes_clothing_materials,Clothing and shoes - Clothing materials,Clothing and shoes,4.7143,0.0,0.0,4.7143,0.0
S1,Scenario 1,2026,leisure_sport_and_culture_leisure_goods_rental_maintenance_and_repair,"Leisure, sport and culture - Leisure goods: rental, maintenance and repair","Leisure, sport and culture",4.214779,0.0,0.0,4.214779,0.0
S1,Scenario 1,2026,other_consumption_medical_products,Other consumption - Medical products,Other consumption,4.067291,0.0,0.0,4.067291,0.0
S1,Scenario 1,2026,food_and_drink_narcotics,Food and drink - Narcotics,Food and drink,3.772807,0.0,0.0,3.772807,0.0
S1,Scenario 1,2026,other_consumption_electric_appliances_for_personal_care,Other consumption - Electric appliances for personal care,Other consumption,3.753629,0.0,0.0,3.753629,0.0
S1,Scenario 1,2026,local_transport_other_transport_of_goods,Local transport - Other transport of goods,Local transport,3.523439,0.0,0.0,3.523439,0.0
S1,Scenario 1,2026,leisure_sport_and_culture_services_for_pets,"Leisure, sport and culture - Services for pets","Leisure, sport and culture",3.281919,0.0,0.0,3.281919,0.0
